"ID_VertProf","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"VP_00046",0.0057703801676935,0.176518841882403,0.23445366465716,0.172002811106213,0.113480415707786,0.087746179415366,0.0600877087432554,0.0408904005454223,0.0270934991648183,0.0179290210476655,0.013585668192319,0.010831835457166,0.00946399279199505,0.00827399328244448,0.00761810578117604,0.0142534820571163,1
"VP_00047",0,6.54776450447483e-05,0.2298340016991,0.300061592277319,0.203279876225527,0.111809427971091,0.0581697391839225,0.0317878107573674,0.0196234561673197,0.0131576582726252,0.00923478223834757,0.00675893202147928,0.00514116543188188,0.00404826612128896,0.0032111762386966,0.0038166377489897,1
"VP_00048",0.00859697818404791,0.248425604474171,0.284756092145256,0.170332676370135,0.106981620280599,0.0611734596236628,0.0361864784568407,0.0241659270108787,0.0170102172101052,0.0112694254761956,0.00793625467800541,0.0063278094291585,0.00517618344124023,0.00415299927601588,0.00361569411066044,0.0038925798330285,1
"VP_00049",0.00542294651280769,0.230037160700072,0.265806126452977,0.150619320144377,0.0934641858353816,0.0649202730299045,0.0437585083768934,0.0315085573740233,0.0246942537833155,0.0192919053490675,0.0157755384121198,0.012801475658102,0.0106618984814263,0.00953909348258781,0.00844917676124182,0.013249579645703,1
"VP_00050",0,0,0,0.231941983203046,0.283563471162876,0.174820434040846,0.0955206540813504,0.0557865903140879,0.0377295743796374,0.0293333970659491,0.0233594809851213,0.0185619294931733,0.0150613613640274,0.0124638810918038,0.0103980862957794,0.0114591565223017,1
"VP_00051",0,0,0.0407168951262089,0.0903830019161578,0.156614476621609,0.150691610438123,0.122459623272491,0.117336986926443,0.104433203769205,0.072746150112802,0.0473035228973721,0.0325824545767823,0.0231027606753595,0.0165116530171776,0.0129681846613164,0.012149475988953,1
"VP_00052",0,0,0.223702046268238,0.280173147248626,0.163975522859143,0.0996208470329229,0.061219755091247,0.0411758204753854,0.0309894597024062,0.0248605667958321,0.0195837332529448,0.0157532873351155,0.012303213235254,0.0101950398019685,0.00827322781461195,0.00817433308630488,1
"VP_00053",0.0055624112371421,0.214057208625199,0.263285031130307,0.169755740629622,0.115681811846997,0.0734053703780288,0.0447108938079334,0.0302166707170701,0.0210274583498109,0.0152744402738826,0.0117206710583358,0.00888791699634628,0.00726527162665071,0.00635568990513128,0.00549313476754933,0.00730027864999459,1
"VP_00054",0.017448553326039,0.212259462763466,0.240955765119769,0.15752074189002,0.102246108457511,0.0713218317277321,0.0482110039378735,0.0348471943338359,0.0261130868853204,0.019925687499115,0.0158944558851841,0.012824567648777,0.0103982853006994,0.00901538399032131,0.00814045890431796,0.0128774123300182,1
"VP_00055",0.00281316496657891,0.308748996624133,0.339628699751542,0.119491258959049,0.0782168563184394,0.0475905351267361,0.0281929801256085,0.0186178695172417,0.0137390582544637,0.0102038326759349,0.00806125964896428,0.0064352023383334,0.00514303609563039,0.00428356262625643,0.00382967464905819,0.00500401232202939,1
"VP_00056",0,0.16712900890468,0.297265132307261,0.209188276399678,0.117771839489201,0.0711496365227546,0.0450870182005781,0.0294306513362475,0.0192187799104621,0.0139525670883291,0.00954988397628159,0.00632165645366876,0.00459506819030769,0.00349817376114354,0.0028996162822653,0.00294269117714206,1
"VP_00057",0,0.136658838538893,0.318911363485397,0.245499590630869,0.141580454995226,0.0615300938918189,0.032057170613561,0.0182775134815363,0.0123191575409562,0.00849069034103511,0.00695899789260965,0.00524099927916503,0.00413512340362255,0.00279119085816054,0.00289045175314536,0.00265836329400486,1
"VP_00058",0,0.141031159144547,0.279187216719475,0.230488466755698,0.109611768715965,0.0678747987805291,0.046657199122947,0.0333442036858911,0.0231955705327899,0.0170808515595522,0.012935293077878,0.00983986681738682,0.00795847913538475,0.00697024976408791,0.00606243177479978,0.00776244441306806,1
"VP_00059",0.0226683393908525,0.356188483376986,0.297431458893583,0.159843053195181,0.0757383122562466,0.0353244831989114,0.0180592294070313,0.0099250245438413,0.00644447564438349,0.00447356414505631,0.00319898034626074,0.00223722638974509,0.00193984874067954,0.00166415012331669,0.00149004638189132,0.00337332396603424,1
